Plate ID,Date,RA_CTR,DEC_CTR,Dec_delta_x,Dec_delta_y,RA_delta_x,RA_delta_y,crpix1,crpix2,naxis1,naxis2,Year,Cluster
a04340, 1900-05-01T07:07:40.8Z,277.295553,-22.702513, -0.000181981, -3.29989e-06, -3.31091e-06, 0.000181956,17012.7123,15361.4979, 35268, 31627,1900,0
a04341, 1900-05-01T09:15:50.4Z,345.4079,-4.103581, -0.000157667, -9.12306e-05, -9.11852e-05, 0.000157538,12007.0517,9782.265, 21953, 17402,1900,-1
a04342, 1900-05-02T01:59:31.2Z,153.67172,-33.096739, -0.00018197, 1.29282e-06, 1.26869e-06, 0.000181947,17903.756,15001.4848, 35268, 31627,1900,-1
a04343, 1900-05-02T06:20:09.6Z,214.178539,-43.352485, -0.000181991, -2.45297e-06, -2.49142e-06, 0.000181975,17790.7501,14819.8904, 35268, 31627,1900,-1
a04379, 1900-05-09T06:25:55.2Z,277.339707,-21.901173, -0.000181631, -1.33427e-05, -1.34063e-05, 0.00018157,6346.3089,13525.1863, 21953, 17493,1900,0
a04380, 1900-05-09T08:09:36Z,277.063298,-23.181508, -0.000181583, -1.28398e-05, -1.28974e-05, 0.000181563,8210.785,6503.076, 21953, 17402,1900,0
a04381, 1900-05-10T02:28:19.2Z,143.157149,-32.995997, -0.000182049, 2.7427e-08, 9.612e-09, 0.000181995,18134.3141,15017.875, 35268, 31627,1900,-1
a04382, 1900-05-18T00:20:09.6Z,117.942783,-42.715797, -0.000182025, 2.18779e-06, 2.15111e-06, 0.000181966,18387.1413,15016.9105, 35268, 31627,1900,-1
a04383, 1900-05-18T01:27:50.4Z,133.282488,-18.049318, -0.000182041, -2.3356e-07, -2.26099e-07, 0.000181968,18230.9489,15544.0907, 35268, 31627,1900,-1
a04384, 1900-05-18T02:39:50.4Z,153.307535,-18.186296, -0.000182013, 3.14335e-07, 3.13867e-07, 0.000181955,17744.9665,15252.7567, 35268, 31627,1900,-1
a04385, 1900-05-18T03:25:55.2Z,183.40469,-23.045661, -0.000182003, -1.77044e-06, -1.78658e-06, 0.000181973,18063.6118,15349.4585, 35268, 31627,1900,-1
a04386, 1900-05-18T03:41:45.6Z,188.524095,-18.223753, -0.000181973, -1.93921e-06, -1.94455e-06, 0.000181958,17784.1927,16231.3829, 35268, 31627,1900,-1
a04387, 1900-05-18T04:04:48Z,188.556121,-2.871966, -0.000182011, -4.59634e-07, -4.58278e-07, 0.000181985,17296.2394,15870.2855, 35268, 31627,1900,-1
a04388, 1900-05-18T04:17:45.6Z,198.378594,-3.002861, -0.00018197, -1.81632e-06, -1.82914e-06, 0.000181963,18127.3018,14918.6215, 35268, 31627,1900,-1
a04389, 1900-05-19T01:17:45.6Z,138.355468,-13.160438, -0.000182023, -1.08007e-07, -9.4227e-08, 0.000181959,17657.0249,14750.6113, 35268, 31627,1900,-1
a04390, 1900-05-19T02:58:33.6Z,173.555626,-13.276515, -0.000181983, -9.98384e-07, -1.0135e-06, 0.000181954,17073.3705,15375.5063, 35268, 31627,1900,-1
