Plate ID, Date, Author, Notebook
a05507, 1901-08-04T03:14:24Z, ['Ida E. Woods'], ['phaedra1258', 'phaedra1210']
a09771, None, ['Mary Applegate'], ['phaedra0697']
a08515, 1907-10-05T01:20:38.4Z, None, None
a16264, 1932-09-30T20:51:21.6Z, ['Frances Woodworth Wright', 'Virginia McKibben Nail', 'R. K. Marshall', 'Mary R. Hunt', 'A. F. Swain'], ['phaedra2430', 'phaedra2443', 'phaedra2441', 'phaedra2440', 'phaedra2432']
a03607, None, None, None
a13109, 1924-09-28T09:15:50.4Z, None, None
a14502, 1930-01-22T23:18:14.4Z, None, None
a18561, 1936-06-04T16:25:40Z, None, None
a00723, None, None, None
a00165, 1894-01-18T01:16:19.2Z, None, None
a18931, 1936-09-21T22:50:52.8Z, None, None
a08477, 1907-08-28T02:47:02.4Z, ['Ida E. Woods'], ['phaedra1203']
a17333, 1935-01-22T23:29:21.5Z, ['Virginia McKibben Nail', 'Jenka Mohr'], ['phaedra2448']
a03483, 1899-04-22T00:24:28.8Z, None, None
a04478, None, None, None
a06013, None, None, None
a18667, 1936-06-30T23:12:02.7Z, None, None
a02804, 1897-10-06T02:51:21.6Z, None, None
a10769, 1913-08-20T01:07:40.8Z, ['Ida E. Woods'], ['phaedra1210', 'phaedra1212']
a03121, None, ['Annie Jump Cannon'], ['phaedra2225']
a18400, 1936-04-14T03:18:43.2Z, None, None
a12069, 1922-07-04T03:20:09.6Z, None, None
a08152, None, None, None
a01231, 1894-12-24T00:33:07.2Z, None, None
a00619, None, None, None
a13129, 1924-10-23T05:58:33.6Z, ['Maude Ryder', 'Virginia McKibben Nail', 'Natalie Ross', 'Cecilia Payne-Gaposchkin', 'Dorrit Hoffleit', 'Frances Woodworth Wright', 'Jenka Mohr'], ['phaedra2451', 'phaedra2439', 'phaedra2458', 'phaedra2455', 'phaedra2448', 'phaedra2488', 'phaedra2536']
a05943, 1902-06-14T02:32:38.4Z, None, None
a06982, None, ['Frances Woodworth Wright', 'Virginia McKibben Nail', 'Sarah E. Breslin', 'R. K. Marshall', 'R. A. Craig', 'Martha Dowse Ashbrook', 'Henrietta Swan Leavitt', 'A. F. Swain', 'A. Hearn', 'Alice Swain Carlston'], ['phaedra2430', 'phaedra2436', 'phaedra2435', 'phaedra2443', 'phaedra2441', 'phaedra2444', 'phaedra2439', 'phaedra2431', 'phaedra2432', 'phaedra0726', 'phaedra2522', 'phaedra2527', 'phaedra2521', 'phaedra2526', 'phaedra2520', 'phaedra2519', 'phaedra2434']
a11255, 1915-06-06T00:12:57.6Z, ['Ida E. Woods'], ['phaedra1211', 'phaedra1203']
a15215, 1931-02-26T23:38:24Z, None, None
a12145, 1922-08-16T01:00:28.8Z, ['Ida E. Woods', 'Frances Woodworth Wright', 'Evelyn F. Leland'], ['phaedra1203', 'phaedra2484', 'phaedra1018']
a16790, 1934-04-17T03:18:43.2Z, None, None
a00961, 1894-10-06T02:26:52.8Z, None, None
a14480, 1930-01-19T23:12:28.8Z, None, None
a08927, 1908-07-08T01:45:07.2Z, None, None
a01044, 1894-10-12T03:43:12Z, None, None
a07122, 1904-12-08T03:53:16.8Z, None, None
a17759, 1935-06-28T02:38:24Z, None, None
a16034, 1932-05-04T01:14:52.8Z, None, None
a11789, 1918-08-17T04:44:10.5Z, None, None
a07325, None, None, None
a07397, 1905-07-09T05:09:36Z, None, None
a16163, 1932-07-29T18:44:38.4Z, None, None
a10395, 1911-05-01T04:58:04.8Z, ['Dorrit Hoffleit'], ['phaedra2644']
a01028, 1894-10-12T00:18:43.2Z, None, None
a00410, 1894-03-24T05:47:02.4Z, None, None
a17579, 1935-05-27T23:36:57.6Z, None, None
a01754, None, None, None
a14879, 1930-08-02T01:20:38.4Z, ['Adelaide Ames'], ['phaedra2320']
a15172, 1931-02-13T00:00:00Z, None, None
a15942, 1932-03-08T23:49:55.2Z, None, None
a19084, 1937-02-01T19:22:04.5Z, None, None
a07595, None, None, None
a03071, 1898-06-08T02:44:09.6Z, None, None
a10811, 1913-10-05T01:01:55.2Z, None, None
a15384, 1931-05-20T18:04:19.2Z, ['R. W. Ford', 'Adelaide Ames'], ['phaedra2323']
a11161, 1915-04-20T07:53:45.6Z, ['Madalen R. Dwyer', 'Cecilia Payne-Gaposchkin'], ['phaedra1130']
a19289, 1937-04-21T02:11:02.4Z, None, None
a14172, None, None, None
a08772, 1908-05-30T00:20:09.6Z, None, None
a13810, 1926-06-12T01:13:26.4Z, ['Adelaide Ames', 'Dorrit Hoffleit'], ['phaedra2317', 'phaedra2316', 'phaedra2315', 'phaedra2313', 'phaedra2318', 'phaedra2312', 'phaedra2314', 'phaedra2534']
a04574, 1900-08-02T06:33:07.2Z, None, None
a19664, 1937-08-11T01:46:33.6Z, None, None
a05840, None, None, None
a10473, 1911-08-27T02:25:26.4Z, None, None
a15098, None, None, None
a17593, 1935-06-02T20:15:21.6Z, None, None
a17549, 1935-05-15T01:13:26.4Z, None, None
a14823, 1930-07-22T02:08:09.6Z, ['Rita L. Paraboschi'], ['phaedra2402']
a19572, 1937-07-15T17:48:28.8Z, None, None
a05100, 1901-04-11T04:16:19.2Z, None, None
a00838, 1894-09-07T00:33:07.2Z, None, None
a04286, 1900-04-10T02:39:50.4Z, None, None
a01965, 1896-08-02T00:53:16.8Z, ['Sarah E. Breslin', 'Mary Applegate'], ['phaedra0717', 'phaedra0696']
a05499, 1901-07-28T03:25:55.2Z, None, None
a01539, None, ['Henrietta Swan Leavitt'], ['phaedra0943']
a13318, 1925-06-11T23:41:16.8Z, None, None
a00312, 1894-03-04T08:02:24Z, None, None
a02906, 1897-11-28T00:28:48Z, ['Sarah E. Breslin'], ['phaedra0742']
a19371, 1937-05-17T17:34:04.8Z, None, None
a06187, 1902-10-11T01:03:21.6Z, ['Henrietta Swan Leavitt'], ['phaedra2526']
a12547, 1923-07-30T23:57:07.2Z, ['Frances Woodworth Wright'], ['phaedra2460']
a02639, 1897-08-11T04:43:40.8Z, None, None
